term,occurrences,rank,product_id,name,price_value,quantity,dietary
muffin,37,16,90184571,BEST Choice Sweet Printed Muffin Cake Cup Liner (M),6.9,20 PC,
muffin,37,17,90184570,BEST Choice Baker Pattern Muffin Cake Cup Liner (M),6.9,20 PC,
muffin,37,18,90135990,Best Choice Floral Printed Muffin Cake Cup Liners,6.9,20 S,
muffin,37,19,90135986,Best Choice Pattern Printed Muffin Cake Cup Liners,6.9,20 S,
muffin,37,20,90135987,BEST Choice Cute Printed Muffin Cake Cup Liners,6.9,20 PC,
dip,31,1,90167094,"Santa Maria Dip Nachos Cheese Style, 250G",6.9,250 G,
dip,31,2,13209203,Chris Dip & Spread - Hommus,6.9,200g,
dip,31,3,13017957,California Creamery Nacho Cheese Sauce,7.03,4 x 99g,
dip,31,4,90214035,Santa Maria Chunky Salsa - Hot,5.6,230 G,
dip,31,5,12529040,La Costena Salsa Dip - Hot,5.3,453g,
dip,31,6,12529032,La Costena Salsa Dip - Medium,5.3,453g,
dip,31,7,13084858,Tostitos Salsa Dip - Chunky Habanero (Hot),7.74,439.4g,
dip,31,8,1,Santa Maria Dip Tex Mex Style (Guacamole),6.9,250 G,
dip,31,9,90014927,Biona Organic Salsa Dip Sauce - Mild,7.11,260 G,
dip,31,10,90217626,Casa del Sur Guacamole Salsa,4.45,300 G,
dip,31,11,90217624,Casa del Sur Mexicana Salsa,8.1,315 G,
dip,31,12,90040819,Simply Organic Spices Turmeric,8.91,67 G,
